CODART;FAMILIA;SUBFAMILIA;Obsoleto
10010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
45007;HARINAS Y SEMOLAS;HARINAS;No
50001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
50015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
50019;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
50020;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
50032;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
55017;FRUTOS SECOS Y SNACKS;SNACKS;No
80037;PASTA;PASTA ESPELTA;No
100001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
100003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
100004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
100005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
100008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
100009;FRUTOS SECOS Y SNACKS;SNACKS;No
100010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100011;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100012;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100013;FRUTOS SECOS Y SNACKS;SNACKS;No
100014;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
100016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
101001;FRUTOS SECOS Y SNACKS;FRUTAS;No
101002;FRUTOS SECOS Y SNACKS;FRUTAS;No
101003;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
101004;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;Si
101008;FRUTOS SECOS Y SNACKS;FRUTAS;No
101009;FRUTOS SECOS Y SNACKS;FRUTAS;No
101010;FRUTOS SECOS Y SNACKS;FRUTAS;No
101011;FRUTOS SECOS Y SNACKS;FRUTAS;No
101012;FRUTOS SECOS Y SNACKS;FRUTAS;No
101014;FRUTOS SECOS Y SNACKS;FRUTAS;No
101015;FRUTOS SECOS Y SNACKS;FRUTAS;No
101016;FRUTOS SECOS Y SNACKS;FRUTAS;No
101017;FRUTOS SECOS Y SNACKS;FRUTAS;No
101018;FRUTOS SECOS Y SNACKS;FRUTAS;No
101019;FRUTOS SECOS Y SNACKS;FRUTAS;No
101020;FRUTOS SECOS Y SNACKS;FRUTAS;No
101021;FRUTOS SECOS Y SNACKS;FRUTAS;No
101022;FRUTOS SECOS Y SNACKS;FRUTAS;No
101023;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
101026;FRUTOS SECOS Y SNACKS;FRUTAS;No
101028;FRUTOS SECOS Y SNACKS;FRUTAS;No
101029;FRUTOS SECOS Y SNACKS;FRUTAS;No
101031;FRUTOS SECOS Y SNACKS;FRUTAS;No
101034;FRUTOS SECOS Y SNACKS;FRUTAS;No
101041;FRUTOS SECOS Y SNACKS;FRUTAS;No
103001;SEMILLAS;SEMILLAS;No
103002;SEMILLAS;SEMILLAS;No
103003;SEMILLAS;SEMILLAS;Si
103004;SEMILLAS;SEMILLAS;Si
103005;SEMILLAS;SEMILLAS;Si
103006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;Si
103007;SEMILLAS;SEMILLAS;No
103008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;Si
103009;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
103010;SEMILLAS;SEMILLAS;No
105001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105011;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105012;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105013;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105014;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
105017;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
105018;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
110001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
110004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110009;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110011;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110012;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
110015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
110016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
110017;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
110019;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
115001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;Si
115002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
115003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
115004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
115005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
115007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
120001;ARROCES Y LEGUMBRES;ARROCES;No
120002;ARROCES Y LEGUMBRES;ARROCES;No
125001;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125002;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125003;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125004;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125005;CONDIMENTOS;AZUCARES Y EDULCORANTES;Si
125006;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125007;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
125008;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
130001;CONDIMENTOS;ACEITES Y VINAGRES;No
130002;CONDIMENTOS;ACEITES Y VINAGRES;No
130003;CONDIMENTOS;ACEITES Y VINAGRES;No
130004;CONDIMENTOS;ACEITES Y VINAGRES;No
135001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135102;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135113;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
135203;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
140001;HARINAS Y SEMOLAS;SEMOLAS;No
140002;HARINAS Y SEMOLAS;SEMOLAS;Si
140003;HARINAS Y SEMOLAS;SEMOLAS;No
140004;SOPAS Y PLATOS PREPARADOS;SOPAS;No
140005;HARINAS Y SEMOLAS;SEMOLAS;No
140008;HARINAS Y SEMOLAS;SEMOLAS;No
140009;SOPAS Y PLATOS PREPARADOS;SOPAS;No
140010;CONDIMENTOS;COMPLEMENTOS;No
140011;HARINAS Y SEMOLAS;SEMOLAS;No
140012;SOPAS Y PLATOS PREPARADOS;SOPAS;No
140015;SOPAS Y PLATOS PREPARADOS;SOPAS;No
140016;HARINAS Y SEMOLAS;SEMOLAS;No
140017;HARINAS Y SEMOLAS;SEMOLAS;Si
145001;HARINAS Y SEMOLAS;HARINAS;No
145002;HARINAS Y SEMOLAS;HARINAS;No
145003;HARINAS Y SEMOLAS;HARINAS;No
145004;HARINAS Y SEMOLAS;HARINAS;No
145005;HARINAS Y SEMOLAS;HARINAS;No
145006;HARINAS Y SEMOLAS;HARINAS;No
145007;HARINAS Y SEMOLAS;HARINAS;No
145108;HARINAS Y SEMOLAS;HARINAS;Si
145109;HARINAS Y SEMOLAS;HARINAS;Si
145110;HARINAS Y SEMOLAS;HARINAS;Si
145111;HARINAS Y SEMOLAS;HARINAS;Si
145112;HARINAS Y SEMOLAS;HARINAS;Si
149908;HARINAS Y SEMOLAS;SEMOLAS;Si
150001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150002;ARROCES Y LEGUMBRES;LEGUMBRES;No
150003;COMPLEMENTOS;COMPLEMENTOS;No
150004;COMPLEMENTOS;COMPLEMENTOS;No
150005;ARROCES Y LEGUMBRES;LEGUMBRES;No
150007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150008;COMPLEMENTOS;COMPLEMENTOS;No
150009;COMPLEMENTOS;COMPLEMENTOS;No
150010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150011;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
150012;GALLETAS Y DULCES;GALLETAS Y DULCES;No
150013;COMPLEMENTOS;COMPLEMENTOS;No
150014;COMPLEMENTOS;COMPLEMENTOS;No
150015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150019;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150020;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150021;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
150022;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
150023;COMPLEMENTOS;COMPLEMENTOS;No
